Nombre,Artista,Género,Duración,Reproducciones
Long Note Symphony,Quinn Jackson,Lo-Fi,2:31,"230,729"
Echo,Band of Lights,Hip Hop,4:00,"227,249"
Secret Shadow,Jamie Johnson,R&B,2:54,"224,810"
Dreams,Jack Stauber,Synthpop,2:00,"222,707"
Echo,Band of Echos,Rock,3:14,"214,514"
Neon River,Band of Nights,Hip Hop,5:08,"203,096"
Fading Soul,Pat Taylor,Rhythm,3:24,"191,623"
Wild Shadow,Sons of Illusions,Rock,4:09,"185,809"
Limbo's Rift,Riley Williams,Synthpop,3:11,"142,687"
Wild Light,Chris Brown,Classical,5:55,"137,238"
Secret Fire,Riley Jones,Reggaeton,5:09,"127,490"
Heart,Jordan Harris,Hip Hop,4:27,"123,995"
Illusion,Sons of Rifts,Synthpop,3:33,"123,664"
Electric Whisper,The Stars,R&B,5:14,"121,050"
Soul,Quinn Smith,Country,5:46,"102,587"
Night,System Grids,Classical,5:23,"96,915"
Bitter Sequence,Project Illusions,Folk,5:37,"96,716"
Grid,Pat Smith,Metal,2:52,"94,717"
Dark Grid,Pat Williams,Country,2:07,"92,660"
Bitter City,Project Citys,Folk,2:20,"92,365"
Star,Jack Stauber,Synthpop,3:23,"87,559"
Wild City,Dakota Thomas,Pop,4:34,"86,176"
Neon Soul,Morgan Smith,Classical,5:07,"74,080"
Neon Echo,Sam White,Classical,5:05,"58,357"
Bitter Fire,Leo Harris,Synthpop,2:35,"54,672"
Broken Mind,The Souls,Reggaeton,4:43,"53,318"
Golden River,System Stars,Reggaeton,4:42,"46,482"
Lost Shadow,Maya Anderson,Reggaeton,3:18,"44,997"
Silent Sequence,Quinn Jones,Rock,5:43,"35,202"
Secret Dreams,Sons of Citys,Folk,2:25,"33,452"
Silent Illusion,Project Illusions,Reggaeton,4:43,"26,244"
Neon Grid,Echoes of Dreamss,Lo-Fi,5:47,"15,874"
Digital Fire,Jordan Davis,Hip Hop,5:53,"12,672"
Lost City,Dakota White,Lo-Fi,5:04,"9,210"
Neon Mind,Riley Miller,Country,4:11,"4,735"
Bitter Sequence,Jamie Taylor,Lo-Fi,2:45,"3,147"
Neon City,Taylor Williams,Hip Hop,4:35,"2,262"
Broken Illusion,Jordan Davis,Synthpop,4:08,"2,121"
